lastName,count
FLOREK,4185
WOJTAS,4178
CZAPLA,4177
STOLARCZYK,4172
CHOLEWA,4171
PYTEL,4163
KRUPIŃSKI,4159
URBAŃCZYK,4146
PACZKOWSKI,4142
KASZUBA,4141
JAŚKIEWICZ,4140
KOPCZYŃSKI,4140
MICHAŁEK,4125
ZAGÓRSKI,4106
BIELAK,4105
KUC,4105
DUBIEL,4104
PROKOP,4104
MISZTAL,4100
GWÓŹDŹ,4091
MALICKI,4088
RUCIŃSKI,4079
STASZEWSKI,4075
BIAŁY,4068
ANDRZEJCZAK,4064
JANKOWIAK,4063
BOŻEK,4058
PARTYKA,4048
SIEDLECKI,4042
ŚWIERCZYŃSKI,4036
CISZEWSKI,4032
KUCHTA,4030
MODZELEWSKI,4030
SŁOWIŃSKI,4030
SKÓRA,4029
KĘPA,4028
PŁONKA,4026
JANUSZ,4014
ZWOLIŃSKI,4012
GAŁKA,4007
KACZMARSKI,4003
SIERADZKI,4003
BIEŃKOWSKI,3997
KAPUSTA,3997
MILCZAREK,3988
STACHURA,3979
JURKOWSKI,3970
SOCHACKI,3965
SZCZERBA,3963
SŁAWIŃSKI,3958
JEZIERSKI,3952
PAWLIKOWSKI,3949
SZYSZKA,3945
SITEK,3941
STĘPNIAK,3935
KOLASA,3906
JACKOWSKI,3900
WOŚ,3897
ROSA,3889
CHMURA,3885
OLCZAK,3883
IWAŃSKI,3881
MROCZKOWSKI,3878
LIPKA,3876
DUDZIK,3872
BRODA,3865
KNAPIK,3860
MAŚLANKA,3860
KWIECIŃSKI,3858
NOGA,3846
DEC,3843
MAJKA,3843
MAŃKOWSKI,3837
SKALSKI,3832
SZATKOWSKI,3796
SALAMON,3791
KOGUT,3787
TRZECIAK,3785
TOKARZ,3782
KOZA,3780
CHOJNOWSKI,3778
FLORCZAK,3777
KITA,3771
DUDZIAK,3770
LENART,3769
MROZEK,3764
DOBRZYŃSKI,3762
MOLENDA,3754
WŁODARSKI,3750
WYSZYŃSKI,3750
STANISŁAWSKI,3747
KOBUS,3746
KOWALCZUK,3745
KOŁAKOWSKI,3742
SKOWRONEK,3741
ZDUNEK,3740
BUCZYŃSKI,3735
MICHALCZYK,3734
PASZKOWSKI,3730
PUCHALSKI,3730
KOTOWSKI,3729
KIEŁBASA,3728
KRUSZEWSKI,3728
JANUSZEWSKI,3717
DOMINIAK,3692
CHUDY,3689
KAWA,3681
ŻUK,3674
CZECHOWSKI,3666
WARCHOŁ,3664
KOS,3656
GRZESIK,3652
AUGUSTYN,3643
ADAMUS,3642
ADAMCZAK,3641
ROBAK,3641
PIECHOTA,3632
PILCH,3613
